id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"386","10","8","207","1","0","0","4738968.96594, 3451968.32857","4873968.96594, 3511968.32857",225829.838966157
"387","10","9","208","0","1","0","4738968.96594, 3436968.32857","4873968.96594, 3511968.32857",216513.526385824
"388","10","10","209","0","0","0","4738968.96594, 3421968.32857","4873968.96594, 3511968.32857",213019.727519068
"389","10","11","210","1","1","0","4738968.96594, 3406968.32857","4873968.96594, 3511968.32857",216074.076919363
"390","10","12","211","0","1","0","4738968.96594, 3391968.32857","4873968.96594, 3511968.32857",223090.345837661
"391","10","13","212","1","0","0","4738968.96594, 3376968.32857","4873968.96594, 3511968.32857",243754.462368642
"392","10","14","213","1","1","0","4738968.96594, 3361968.32857","4873968.96594, 3511968.32857",252935.838841753
"393","10","15","214","1","0","0","4738968.96594, 3346968.32857","4873968.96594, 3511968.32857",243224.176455701
"394","10","16","215","0","1","0","4738968.96594, 3331968.32857","4873968.96594, 3511968.32857",253220.228955578
"395","10","17","216","0","1","0","4738968.96594, 3316968.32857","4873968.96594, 3511968.32857",280673.01562709
"396","10","18","217","0","0","0","4738968.96594, 3301968.32857","4873968.96594, 3511968.32857",290072.509616831
"397","10","19","218","1","0","0","4738968.96594, 3286968.32857","4873968.96594, 3511968.32857",383303.366334506
"398","10","20","219","1","0","0","4738968.96594, 3271968.32857","4873968.96594, 3511968.32857",351093.535805845
"399","10","21","220","0","1","0","4738968.96594, 3256968.32857","4873968.96594, 3511968.32857",353099.741766325
"400","10","22","221","1","1","0","4738968.96594, 3241968.32857","4873968.96594, 3511968.32857",374332.644988292
"401","10","23","222","0","1","0","4738968.96594, 3226968.32857","4873968.96594, 3511968.32857",372755.356645002
"402","10","24","223","0","0","0","4738968.96594, 3211968.32857","4873968.96594, 3511968.32857",394382.794709005
"403","10","25","224","1","1","0","4738968.96594, 3196968.32857","4873968.96594, 3511968.32857",403585.326898686
"404","10","26","225","1","1","0","4738968.96594, 3181968.32857","4873968.96594, 3511968.32857",414204.264737032
"405","10","27","226","1","0","0","4738968.96594, 3166968.32857","4873968.96594, 3511968.32857",445978.86593246
"406","10","28","227","1","1","0","4738968.96594, 3151968.32857","4873968.96594, 3511968.32857",482025.17719917
"407","10","29","228","1","1","0","4738968.96594, 3136968.32857","4873968.96594, 3511968.32857",479147.489299603
"408","10","30","229","0","0","0","4738968.96594, 3121968.32857","4873968.96594, 3511968.32857",487101.82151725
"409","10","31","230","1","1","0","4738968.96594, 3106968.32857","4873968.96594, 3511968.32857",554664.077116641
